date,Germany_UK_France,China,USA
01/04/2018,95.6228898,95.39805282,96.67508197
01/05/2018,95.69751446,94.36693178,96.39199299
01/06/2018,95.47649259,95.00634036,96.46480307
01/07/2018,95.33441564,94.15833296,95.76139317
01/08/2018,95.43600295,93.95314013,95.63984393
01/09/2018,94.36974604,93.98135611,94.59524664
01/10/2018,95.01852818,93.22756515,95.22532453
01/11/2018,94.56224784,92.59584833,94.9971617
01/12/2018,94.41863094,91.77808968,94.96663656
01/01/2019,94.41735717,94.73146461,95.8751555
01/02/2019,95.14367253,94.96077593,96.16129337
01/03/2019,95.14048756,93.55844936,96.34883952
01/04/2019,95.02969698,93.0582675,95.85031231
01/05/2019,95.02402926,92.89624695,95.53490671
01/06/2019,94.97067415,91.04297119,95.4302931
01/07/2019,94.44837447,94.53560525,95.48429744
01/08/2019,94.328122,94.21439665,95.60309504
01/09/2019,93.11644349,95.20435434,95.30837169
01/10/2019,92.60490007,95.61075014,95.51014813
01/11/2019,93.18142944,95.02223246,95.43116802
01/12/2019,93.67110303,93.28014628,95.15017811
01/01/2020,87.49042038,96.28512412,94.4927505
01/02/2020,87.96413869,94.35549739,95.17402727
01/03/2020,86.86123098,94.4567854,95.48443867
01/04/2020,86.93505507,94.4563752,96.50935662
01/05/2020,87.3179375,94.28450254,96.08683778
01/06/2020,86.59897215,93.10651277,94.37829415
01/07/2020,84.89030034,92.97214379,94.20213061
01/08/2020,83.9683271,92.93370743,94.44710156
01/09/2020,82.45452106,92.51548069,94.0144552
01/10/2020,80.14452448,91.65273028,93.87558343
01/11/2020,77.27007087,90.39196619,93.12735801
01/12/2020,71.21196413,89.06823095,93.12054096
01/01/2021,77.85968737,89.66202128,92.25260676
01/02/2021,77.90747875,88.54478169,91.97321828
01/03/2021,76.03877,86.23250899,91.77645854
01/04/2021,75.99976377,86.10828027,91.18863237
01/05/2021,74.01064032,84.79658142,90.87727868
01/06/2021,72.00369286,81.52186762,90.94698719
01/07/2021,71.88856721,80.85093334,89.54337185
01/08/2021,67.7475838,77.3589457,88.29280318
01/09/2021,66.62192538,77.13165804,88.23420214
01/10/2021,66.14428435,78.62910663,87.30828652
01/11/2021,62.48833771,77.20436227,88.02879143
01/12/2021,60.36609671,75.76727038,87.59745984
01/01/2022,70.71924107,77.53964408,87.45370775
01/02/2022,68.17850001,74.45336115,87.94434992
01/03/2022,66.77687204,70.70520817,87.01323523
01/04/2022,69.7635468,66.15198188,87.45557023
01/05/2022,69.16320661,69.68478708,86.20417233
01/06/2022,68.2855931,70.17700012,87.14267014
01/07/2022,70.17178933,69.9386526,86.87268892
01/08/2022,67.47303967,66.06298824,87.32379444
01/09/2022,63.83981237,67.21260199,87.36571409
01/10/2022,64.22333305,65.79277708,86.49558751
01/11/2022,59.27420833,60.2939415,86.60464745
01/12/2022,48.94458215,62.5175235,86.40466995
